image_id,n_bands,source,cov_geo,cov_vlm,same
IMG_00003.tif,3,geometry,0.03447491182159518,0.03447491182159518,True
IMG_00008.tif,3,geometry,0.30742334588488435,0.30742334588488435,True
IMG_00014.tif,3,geometry,0.34361781537695946,0.34361781537695946,True
IMG_00034.tif,3,geometry,0.2361111111111111,0.2361111111111111,True
IMG_00035.tif,3,geometry,0.9381192677446684,0.9381192677446684,True
IMG_00197.tif,3,geometry,0.2976161616161616,0.2976161616161616,True
IMG_00199.tif,3,geometry,1.0,1.0,True
IMG_00213.tif,4,geometry,0.27640449438202247,0.27640449438202247,True
IMG_00215.tif,5,geometry,0.5333793738489871,0.5333793738489871,True
IMG_00222.tif,3,geometry,0.10798444291924045,0.10798444291924045,True
IMG_00227.tif,3,geometry,0.22069325901410905,0.22069325901410905,True
IMG_00232.tif,3,geometry,0.909109688080975,0.909109688080975,True
IMG_00252.png,3,geometry,0.08572290974947178,0.08572290974947178,True
IMG_00260.png,3,geometry,0.08124076809453472,0.08124076809453472,True
IMG_00261.png,3,geometry,1.0,1.0,True
IMG_00263.png,3,geometry,0.02281639928698752,0.02281639928698752,True
IMG_00268.png,3,geometry,0.8816521048451151,0.8816521048451151,True
IMG_00299.png,3,geometry,0.9442612655047888,0.9442612655047888,True
IMG_00301.png,3,geometry,1.0,1.0,True
IMG_00302.png,3,geometry,0.9798588235294118,0.9798588235294118,True
IMG_00306.png,3,geometry,0.0016680567139282735,0.0016680567139282735,True
IMG_00309.png,3,geometry,0.5203252032520326,0.5203252032520326,True
